    1162.00000      13.96784      13.98181      14.07827 	      13.96971      13.96926      14.08691      14.09510 	      14.16096      14.13097      13.98094      13.96814 	      13.98383      13.98294      13.99378      13.99060 
    2162.00000      11.51358      11.52510      11.60984 	      11.51523      11.51507      11.60796      11.61658 	      11.66522      11.65078      11.52491      11.51386 	      11.52708      11.52686      11.53526      11.53491 
    3162.00000      42.20091      42.24313      42.46509 	      42.22600      42.20546      42.52011      42.59264 	      42.65402      42.70827      42.32249      42.20387 	      42.39065      42.43917      42.47025      42.50764 
    4162.00000      24.03152      24.05556      24.20784 	      24.04370      24.06077      24.17405      24.24579 	      24.33023      24.32734      24.10522      24.04742 	      24.10374      24.13796      24.18288      24.18804 
    5162.00000      14.10498      14.11909      14.21390 	      14.11034      14.12133      14.22298      14.22764 	      14.26912      14.27056      14.14014      14.11185 	      14.14978      14.14752      14.16730      14.16740 
    6162.00000      24.86377      24.88865      25.04078 	      24.87574      24.89892      25.05945      25.08231 	      25.09564      25.14116      24.93204      24.88433 	      24.95793      24.96448      24.97534      24.98851 
    7162.00000      15.79116      15.80696      15.91742 	      15.79521      15.79334      15.92199      15.92972 	      15.98372      15.97754      15.81783      15.79199 	      15.82473      15.82344      15.84057      15.83986 
    9162.00000      15.12511      15.14025      15.24623 	      15.12970      15.14216      15.23406      15.25987 	      15.31374      15.30824      15.15693      15.13033 	      15.15811      15.16364      15.18224      15.18468 
   10162.00000      11.99782      12.00983      12.09566 	      12.00036      12.01174      12.08803      12.10495 	      12.15619      12.14153      12.01608      12.00133 	      12.01692      12.01837      12.03136      12.03052 
   12162.00000      25.76895      25.79474      25.97273 	      25.77754      25.77212      25.94045      25.99718 	      26.07459      26.08180      25.82559      25.76990 	      25.82611      25.84055      25.87081      25.88025 
   14162.00000      11.75027      11.76203      11.84354 	      11.75147      11.75121      11.86185      11.85636 	      11.90243      11.88570      11.75795      11.75027 	      11.76162      11.75943      11.76574      11.76254 
   15162.00000       8.44336       8.45181       8.51344 	       8.44426       8.44428       8.52667       8.52010 	       8.55440       8.54294       8.44958       8.44336 	       8.45225       8.45058       8.45521       8.45439 
   18162.00000      18.86695      18.88583      19.00803 	      18.87214      18.86926      19.02619      19.03201 	      19.08385      19.08548      18.89665      18.86798 	      18.91072      18.90717      18.92656      18.92337 
   21162.00000      16.58011      16.59670      16.71115 	      16.58455      16.58265      16.71832      16.72594 	      16.77577      16.77435      16.60904      16.58156 	      16.61707      16.61564      16.63244      16.63154 
   22162.00000      12.48398      12.49647      12.58448 	      12.48721      12.48638      12.59665      12.59781 	      12.63877      12.63216      12.50560      12.48507 	      12.51317      12.51327      12.52409      12.52443 
   24162.00000      29.81444      29.84426      30.04435 	      29.82486      29.81658      30.01483      30.07015 	      30.13423      30.15795      29.87908      29.81444 	      29.88446      29.89472      29.92618      29.92999 
   25162.00000       9.89720       9.90710       9.98277 	       9.89720       9.89835       9.98080       9.98778 	      10.02000      10.01291       9.89720       9.89720 	       9.89720       9.89720       9.89720       9.89720 
   26162.00000      12.67123      12.68391      12.77411 	      12.67441      12.68615      12.77383      12.78549 	      12.80794      12.82341      12.69304      12.67533 	      12.69692      12.69894      12.70545      12.71175 
   27162.00000      12.80255      12.81536      12.90332 	      12.80724      12.81761      12.90221      12.91383 	      12.97118      12.95319      12.83466      12.80886 	      12.83904      12.84031      12.86430      12.85856 
   28162.00000      23.44328      23.46674      23.63060 	      23.45000      23.44584      23.59093      23.64900 	      23.74752      23.71826      23.48835      23.44431 	      23.48559      23.49825      23.53047      23.52399 
   29162.00000      31.11443      31.14557      31.38362 	      31.11443      31.11750      31.31287      31.40015 	      31.32260      31.47816      31.11443      31.11443 	      31.11443      31.11443      31.11443      31.11443 
   30162.00000      12.71061      12.72333      12.81478 	      12.71111      12.71173      12.82311      12.82685 	      12.86480      12.85963      12.71416      12.71061 	      12.71504      12.71463      12.71668      12.71743 
   31162.00000      11.10618      11.11729      11.19443 	      11.10994      11.10934      11.20540      11.20270 	      11.24745      11.23497      11.12962      11.10851 	      11.13979      11.13552      11.15403      11.14887 
   33162.00000      12.36893      12.38131      12.46499 	      12.37368      12.38388      12.46970      12.47971 	      12.53204      12.51608      12.40055      12.37562 	      12.40757      12.41079      12.43147      12.42721 
   34162.00000       8.67793       8.68661       8.74422 	       8.67953       8.67886       8.76806       8.75319 	       8.78958       8.77817       8.68598       8.67810 	       8.69456       8.69030       8.69853       8.69586 
   36162.00000      26.19856      26.22478      26.38326 	      26.21258      26.23691      26.40920      26.42840 	      26.44142      26.49397      26.27983      26.22358 	      26.31124      26.31682      26.32848      26.34956 
